,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
0,ID_01,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[96.40892125 97.2588476  94.46952111 94.97298042 87.3713677  91.52165507
 71.16249018 73.36426495 35.65225663 37.27284797 14.91112439 57.72752952
 -0.27539849 -0.27539849 -0.27539849  0.16136668 -0.27539849 -0.27539849
 -0.27539849 -0.27539849 -0.27539849 -0.27539849]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -2.11584952 100.25927544  -6.92493267   0.9266713 ],[4.06491963 6.88585675 0.12103889 0.22046157],[92.9333467],None
1,ID_02,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 98.56409588 100.          96.30930667  97.24721774  80.66052114
  89.02345006  72.17435649  72.79840763  38.92886928  39.10296052
  19.73844991  62.44754357   0.           1.65118181   0.
   0.           0.           0.           0.           0.
   0.           0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -2.95745009 102.96282801  -6.91434073   0.8113407 ],[4.74513151 8.42527907 0.14497821 0.20650349],[102.04238558],None
2,ID_03,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 95.29688071 101.10569298  93.56002655  98.57760525  94.66003419
  96.97583974  30.47362354  73.37392145  73.58620363  76.0756946
  -0.21080007  -0.21080007  -0.21080007  -0.21080007  59.28610433
  66.13702909  -0.21080007  -0.21080007  -0.21080007  -0.21080007
  -0.21080007  -0.21080007]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ 8.95401794 99.89544682 -7.01827072  1.06276306],[ 9.40785744 16.46483452  0.30797649  0.72117259],[618.27385508],None
3,ID_04,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 9.94616165e+01  1.00986638e+02  8.34854138e+01  1.00889983e+02
  9.32265730e+01  9.58865465e+01  7.00478305e+01  7.49455847e+01
  1.69229547e+01  2.70539475e+01  2.69504925e+00  3.70998640e+00
 -1.57949422e-01  1.21942186e-01 -4.29543838e-01 -1.60967548e-01
 -4.29543838e-01 -4.29543838e-01 -4.29543838e-01 -4.29543838e-01
 -4.29543838e-01 -1.41079313e-02]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-0.24101723 96.75536619 -7.1111002   2.10557517],[1.20521506 1.80304184 0.02676416 0.20949337],[15.75027792],None
4,ID_05,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[102.86733743 109.51749055 106.82314633 107.14150286 102.8877759
 102.89884487  86.35185294  92.96805223  19.15705247  46.00008199
   5.55311922   5.96285174  -0.43242471   0.16640875  -0.43242471
  -0.14829543  -0.43242471  -0.43242471  -0.43242471  -0.43242471
  -0.43242471  -0.43242471]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -0.1534312  106.16439417  -7.01609027   2.21357423],[1.47557547 2.12462377 0.02872709 0.26240181],[23.39464642],None
5,ID_06,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 91.89423679  93.81232723  97.83785918 100.          81.22392782
  81.43567765  68.49830455  68.74475706  26.82434118  27.46933976
   7.40568544   8.33960036   0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.        ]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-0.35194605 94.80719508 -7.10155232  1.49327722],[1.02636845 1.67377646 0.02724729 0.1214006 ],[9.88064435],None
6,ID_07,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 38.41202538  61.37716608 130.8207296  133.48520607 109.88934858
 109.92697699  95.13792636 103.26549813  25.00830472  65.49349887
  -0.21878787  -0.21878787  -0.21878787  -0.21878787  -0.21878787
  -0.21878787  -0.21878787  -0.21878787  -0.21878787  -0.21878787
  -0.21878787  -0.21878787]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -0.28040248 100.05920759  -6.87972387   4.90834905],[ 6.45674914  8.48106995  0.0991421  23.48679942],[467.07205714],None
7,ID_08,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[93.02794088 95.71294671 88.02864995 91.16882437 83.87773256 84.21524257
 71.18634505 75.11606014 46.96038587 55.82339921  4.212079    5.01748573
 -0.38715993 -0.38715993  0.30260116  0.41224247 -0.38715993 -0.38715993
 -0.38715993 -0.38715993 -0.38715993 -0.38715993]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-1.27589235 88.71418262 -6.8358198   1.84720794],[1.44577298 1.86837393 0.03264423 0.23920555],[19.02861428],None
8,ID_09,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[96.30950127 98.34280561 95.7395599  96.50975094 89.48560866 91.27245187
 68.99852701 70.80077404 50.49853824 68.98312319 41.56432218 46.04683403
  2.42321356  2.63886705 -0.11841687 -0.11841687 -0.11841687 -0.11841687
 -0.11841687 -0.11841687 -0.11841687 -0.11841687]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-3.47055881 96.90759266 -6.64626399  0.93845921],[3.2186231  4.11024768 0.08353691 0.15872636],[49.08386626],None
9,ID_10,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 8.77335084e+01  8.93432350e+01  8.63556916e+01  8.75152404e+01
  8.35864162e+01  8.36682667e+01  6.15549890e+01  7.44328016e+01
  6.23871358e+01  6.43651897e+01  3.38622354e+01  3.63177505e+01
 -5.11565647e-02 -5.11565647e-02 -5.11565647e-02 -5.11565647e-02
 -5.11565647e-02 -5.11565647e-02 -5.11565647e-02 -5.11565647e-02
 -5.11565647e-02 -5.11565647e-02]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-2.02966705 84.89970313 -6.5527811   1.34636731],[2.13184183 2.39464473 0.05418374 0.19923091],[30.12685437],None
10,ID_11,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 9.90912453e+01  9.98981974e+01  9.84936206e+01  9.91645877e+01
  9.53810846e+01  9.74262505e+01  8.43594598e+01  8.60705679e+01
  5.00136084e+01  5.09038272e+01  1.82406035e+01  1.84920926e+01
 -9.86590149e-02 -9.86590149e-02 -9.86590149e-02 -9.86590149e-02
 -9.86590149e-02 -9.86590149e-02 -9.86590149e-02 -9.86590149e-02
 -9.86590149e-02 -9.86590149e-02]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[-0.74110849 99.62027782 -6.83985392  1.51584506],[0.49911162 0.66894925 0.01132306 0.05356702],[2.07769832],None
11,ID_12,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[104.11020271 106.1709038  101.17594355 103.10225109  95.44181879
  99.45122634  85.25030799  89.14772091  52.83906372  62.24661216
  21.01019151  21.34617538   0.29118602   0.31358495  -0.13439355
  -0.13439355  -0.13439355  -0.13439355  -0.13439355  -0.13439355
  -0.13439355  -0.13439355]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -1.18646613 102.95144478  -6.79471759   1.43031942],[0.93319499 1.22441187 0.02074159 0.08670929],[6.86311537],None
12,ID_13,Ebselen,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 1.08380251e+02  1.10893170e+02  1.08736391e+02  1.09901178e+02
  1.08829113e+02  1.12825267e+02  9.97093876e+01  1.04223006e+02
  6.40802382e+01  8.40492186e+01  1.08615017e+01  1.17438784e+01
 -1.86064786e-02 -1.86064786e-02 -1.86064786e-02 -1.86064786e-02
 -1.86064786e-02 -1.86064786e-02 -1.86064786e-02 -1.86064786e-02
 -1.86064786e-02 -1.86064786e-02]","[-8.69897    -8.69897    -8.30103    -8.30103    -7.82390874 -7.82390874
 -7.33724217 -7.33724217 -6.86327943 -6.86327943 -6.38510278 -6.38510278
 -5.90833304 -5.90833304 -5.43132902 -5.43132902 -4.95424685 -4.95424685
 -4.4771256  -4.4771256  -4.         -4.        ]",None,None,[ -0.32926553 108.98092371  -6.73894468   2.50930156],[1.24216312 1.44114607 0.02022781 0.24918837],[14.60849542],None
